user_id,recharge_frequency,utility_regularity,ecommerce_frequency,ecommerce_avg_amount,avg_balance,credit_score,risk_bucket
U1113,12,47.7,8,1753.49,45032.55,900,Excellent
U1114,2,54.7,12,1718.71,46717.75,827,Excellent
U1115,14,51.2,8,493.15,26463.31,746,Good
U1116,8,81.8,5,2049.49,48488.79,900,Excellent
U1117,1,69.4,5,3376.35,46504.11,794,Excellent
U1118,11,74.3,18,4209.05,10651.34,809,Excellent
U1119,12,46.9,13,1514.29,29271.29,817,Excellent
U1120,11,95.9,12,2709.69,3065.27,700,Good
U1121,7,72.9,1,1679.53,40588.79,786,Excellent
U1122,1,48.3,8,3825.12,29984.12,589,Poor
U1123,14,46.4,4,4170.04,48268.83,897,Excellent
U1124,14,96.0,10,4697.87,9471.04,795,Excellent
U1125,6,42.9,7,4156.91,37649.85,758,Excellent
U1126,12,49.8,4,4091.42,33427.26,734,Good
U1127,13,75.3,17,4101.34,22237.18,899,Excellent
U1128,14,94.0,5,2744.93,22217.86,778,Excellent
U1129,7,71.9,7,1222.22,27371.04,786,Excellent
U1130,6,96.4,6,3679.69,34839.02,877,Excellent
U1131,11,87.3,5,3786.78,35495.53,872,Excellent
U1132,11,84.6,3,2892.46,38241.7,860,Excellent
U1133,6,72.2,14,4247.62,6810.69,687,Fair
U1134,8,70.1,7,834.6,11847.94,690,Fair
U1135,3,81.6,3,3609.28,30151.95,735,Good
U1136,4,50.9,9,1778.37,11753.87,542,Poor
U1137,11,49.2,12,781.67,5489.33,645,Poor
U1138,1,41.1,10,4667.38,28474.09,672,Fair
U1139,8,79.1,16,2923.81,30532.39,883,Excellent
U1140,6,44.6,13,4678.4,46315.64,844,Excellent
U1141,5,49.9,3,710.85,46081.67,782,Excellent
U1142,6,71.1,7,3078.68,19275.63,663,Fair
U1143,9,40.3,8,659.91,21017.98,714,Good
U1144,10,95.2,1,2381.93,24301.43,769,Excellent
U1145,11,67.1,18,1316.31,29092.78,900,Excellent
U1146,4,65.1,0,1875.73,29239.12,629,Poor
U1147,4,67.5,19,2131.66,4724.81,671,Fair
U1148,13,51.1,6,3017.39,3820.29,609,Poor
U1149,3,61.0,16,279.09,23867.31,756,Excellent
U1150,8,75.2,0,3900.09,22937.8,607,Poor
U1151,2,69.8,18,860.68,9505.44,689,Fair
U1152,13,44.5,2,1929.22,13901.86,623,Poor
U1153,7,98.7,17,4348.27,20695.23,891,Excellent
U1154,9,53.3,7,610.13,40095.85,851,Excellent
U1155,8,46.0,13,3055.67,40439.08,831,Excellent
U1156,4,96.7,13,1536.42,44868.62,900,Excellent
U1157,12,82.2,0,4105.47,17419.96,676,Fair
U1158,10,89.5,2,2992.45,13769.15,653,Fair
U1159,14,61.8,11,1175.6,48740.09,900,Excellent
U1160,12,48.4,9,2872.31,49275.68,900,Excellent
U1161,2,41.3,13,3734.27,35092.87,736,Good
U1162,9,55.5,10,2166.35,7047.67,651,Fair
U1163,5,41.1,17,2695.34,40845.19,870,Excellent
U1164,9,56.4,16,2085.72,25124.51,798,Excellent
U1165,6,48.2,5,3687.7,12911.17,598,Poor
U1166,13,79.9,6,2909.14,41986.29,900,Excellent
U1167,14,42.8,10,1003.42,4971.68,657,Fair
U1168,3,54.7,10,1514.6,18105.8,607,Poor
U1169,3,97.0,14,4775.03,7182.56,699,Fair
U1170,8,52.9,3,2745.23,8519.69,584,Poor
U1171,11,75.8,1,3154.33,23974.75,749,Good
U1172,9,44.5,16,2122.69,35393.81,836,Excellent
U1173,3,89.1,4,111.46,48401.12,900,Excellent
U1174,6,75.4,18,1641.52,40467.8,900,Excellent
U1175,12,72.5,18,3687.9,40424.78,900,Excellent
U1176,7,83.4,15,4261.06,12858.57,697,Fair
U1177,10,43.1,14,316.41,29619.06,818,Excellent
U1178,1,50.8,6,266.34,35022.3,698,Fair
U1179,2,65.3,17,3750.82,3216.69,592,Poor
U1180,3,59.1,9,3258.28,32683.28,761,Excellent
U1181,13,44.6,4,2698.3,22331.09,669,Fair
U1182,7,43.9,14,4039.49,27150.87,802,Excellent
U1183,1,93.2,9,4395.66,21166.55,713,Good
U1184,3,92.2,12,2691.79,46983.85,900,Excellent
U1185,13,42.3,11,3174.78,43747.02,900,Excellent
U1186,9,86.1,6,2660.34,36747.45,861,Excellent
U1187,8,57.2,3,3606.21,29660.87,722,Good
U1188,1,94.6,14,2196.09,19524.17,688,Fair
U1189,10,87.9,4,538.11,21170.25,776,Excellent
U1190,8,93.1,10,4528.25,49464.65,900,Excellent
U1191,8,96.6,18,2612.17,11918.16,799,Excellent
U1192,2,63.0,8,1013.55,39089.43,748,Good
U1193,7,93.0,2,3026.64,26489.06,739,Good
U1194,11,63.8,17,2506.81,49818.62,900,Excellent
U1195,13,53.4,14,270.84,44798.61,900,Excellent
U1196,5,45.5,8,2016.73,14011.49,585,Poor
U1197,2,91.7,8,1712.35,46613.68,861,Excellent
U1198,11,45.2,14,124.9,34937.86,873,Excellent
U1199,5,53.2,12,4482.95,49578.03,870,Excellent
U1200,2,69.7,18,4140.94,17716.56,732,Good
U1201,13,84.0,18,4353.99,12641.63,900,Excellent
U1202,11,92.0,8,1736.64,12315.16,721,Good
U1203,5,92.9,18,4407.45,754.69,694,Fair
U1204,11,53.7,6,887.72,40989.37,862,Excellent
U1205,7,51.6,12,3122.94,49068.72,900,Excellent
U1206,1,47.0,1,3206.63,27229.28,575,Poor
U1207,14,41.1,8,4818.66,17422.67,743,Good
U1208,12,50.8,4,602.3,46892.81,879,Excellent
U1209,11,50.0,11,430.02,29317.44,823,Excellent
U1210,1,43.5,17,4370.53,48687.7,866,Excellent
U1211,7,43.9,0,1685.69,24687.84,617,Poor
U1212,3,55.2,1,1440.77,49857.66,734,Good
U1213,7,71.6,10,1181.77,4577.86,560,Poor
U1214,14,53.8,10,1438.97,47567.75,900,Excellent
U1215,5,94.6,4,3228.78,20180.92,660,Fair
U1216,9,66.5,0,1671.64,36358.92,752,Excellent
U1217,1,79.1,11,2857.48,23840.86,717,Good
U1218,11,98.1,13,1098.14,5012.64,746,Good
U1219,2,85.7,2,4004.31,15061.31,553,Poor
U1220,8,95.3,2,1008.75,23373.82,697,Fair
U1221,9,52.0,1,4008.04,15862.92,639,Poor
U1222,13,49.0,17,3434.24,20079.48,866,Excellent
U1223,12,86.8,7,3649.0,37583.5,900,Excellent
U1224,9,54.5,13,798.23,25194.96,833,Excellent
U1225,10,86.5,17,1699.66,26126.73,900,Excellent
U1226,1,93.0,0,4140.12,18211.17,612,Poor
U1227,2,42.5,11,612.38,32003.3,675,Fair
U1228,3,93.8,8,4687.44,3072.58,639,Poor
U1229,8,96.8,19,1763.31,40833.84,900,Excellent
U1230,7,79.6,15,2783.2,40956.24,900,Excellent
U1231,9,49.8,13,499.99,3487.43,612,Poor
U1232,7,79.0,12,3117.14,16786.36,788,Excellent
U1233,13,87.4,18,892.2,1532.63,771,Excellent
U1234,3,53.7,8,2517.06,4535.56,486,Poor
U1235,6,41.8,0,4218.22,9122.57,497,Poor
U1236,5,83.6,19,3180.95,36899.84,900,Excellent
U1237,2,92.0,8,2249.22,36400.25,841,Excellent
U1238,4,92.4,1,3985.48,32922.96,701,Good
U1239,2,77.9,14,1255.38,38912.01,789,Excellent
U1240,4,94.5,9,1263.96,48584.06,900,Excellent
U1241,13,66.2,14,3005.3,29181.04,886,Excellent
U1242,4,75.6,5,3295.4,15951.33,660,Fair
U1243,5,59.5,7,3033.7,20134.66,651,Fair
U1244,7,67.2,10,4430.18,22380.21,721,Good
U1245,12,89.7,0,2302.23,29600.28,750,Excellent
U1246,12,82.4,19,1958.86,30474.14,900,Excellent
U1247,1,90.7,11,2287.21,43278.7,784,Excellent
U1248,6,52.4,19,1421.77,3325.8,668,Fair
U1249,13,78.4,2,2315.78,46726.81,900,Excellent
U1250,5,46.2,18,303.71,7842.99,673,Fair
U1251,8,70.9,17,1779.0,26846.13,856,Excellent
U1252,7,41.8,12,803.36,47021.08,857,Excellent
U1253,5,45.6,7,865.2,12110.78,597,Poor
U1254,6,55.3,0,4206.76,47258.4,790,Excellent
U1255,1,89.9,14,2895.99,2004.16,654,Fair
U1256,8,87.7,3,3414.92,11175.92,620,Poor
U1257,5,74.6,1,4997.13,2886.5,568,Poor
U1258,9,92.0,15,3786.9,4978.84,713,Good
U1259,2,64.2,13,4635.81,22189.53,682,Fair
U1260,2,85.7,8,1654.26,43510.58,786,Excellent
U1261,7,40.3,14,3188.02,30686.67,756,Excellent
U1262,5,62.8,0,1263.97,18975.96,649,Poor
U1263,10,85.6,8,1960.95,43235.02,900,Excellent
U1264,2,68.8,11,830.06,26567.88,708,Good
U1265,11,85.9,5,3759.69,35916.8,824,Excellent
U1266,11,41.1,10,137.06,32550.0,808,Excellent
U1267,11,62.8,3,4678.74,17905.32,708,Good
U1268,2,50.0,3,1358.21,14601.21,563,Poor
U1269,3,74.9,9,3090.64,35949.46,764,Excellent
U1270,1,98.6,10,703.79,43041.08,836,Excellent
U1271,8,87.6,9,4596.99,21514.11,788,Excellent
U1272,6,88.4,0,1930.2,26561.71,715,Good
U1273,12,53.7,8,3268.37,9151.29,743,Good
U1274,9,90.4,7,3872.73,28053.53,792,Excellent
U1275,8,89.4,6,3370.99,5229.0,609,Poor
U1276,4,49.0,17,849.62,12144.16,655,Fair
U1277,5,45.7,15,1630.13,11897.19,680,Fair
U1278,7,72.8,9,1358.73,31784.77,824,Excellent
U1279,2,64.3,6,3650.13,1283.14,446,Poor
U1280,8,47.7,18,3055.78,17192.74,755,Excellent
U1281,4,45.1,0,3019.18,20358.8,574,Poor
U1282,1,53.6,8,3124.06,22399.29,636,Poor
U1283,12,54.0,7,4412.39,32718.43,856,Excellent
U1284,6,53.8,2,1032.59,3090.77,462,Poor
U1285,3,83.8,19,394.7,28333.69,789,Excellent
U1286,4,97.7,14,1084.58,27023.47,812,Excellent
U1287,12,60.9,11,4908.06,24006.88,786,Excellent
U1288,14,54.1,18,846.84,49627.93,900,Excellent
U1289,9,80.3,19,3155.57,4911.66,767,Excellent
U1290,7,91.9,15,2583.51,8385.55,707,Good
U1291,9,45.3,8,2597.65,41351.66,804,Excellent
U1292,14,66.8,3,4379.35,8507.33,690,Fair
U1293,12,91.1,9,2555.65,20160.35,864,Excellent
U1294,6,89.0,2,3404.09,26857.82,706,Good
U1295,7,58.3,8,1680.39,1633.24,580,Poor
U1296,11,81.7,17,4790.88,28865.55,900,Excellent
U1297,13,91.7,3,3071.22,7390.3,721,Good
U1298,6,89.8,19,2562.57,20233.82,812,Excellent
U1299,8,68.7,3,762.31,48174.2,841,Excellent
U1300,12,86.6,12,4688.6,43867.21,900,Excellent
U1301,13,41.1,1,3285.99,8025.23,589,Poor
U1302,3,73.9,1,2353.02,3379.11,478,Poor
U1303,9,87.0,13,595.12,34761.99,895,Excellent
U1304,12,77.1,3,4983.81,40791.53,842,Excellent
U1305,4,79.3,5,2187.81,6970.16,602,Poor
U1306,4,64.3,2,1902.02,20999.42,635,Poor
U1307,6,97.8,1,755.64,21219.74,718,Good
U1308,6,55.6,9,3436.78,9889.89,568,Poor
U1309,10,54.5,17,416.62,2610.34,712,Good
U1310,1,46.6,10,2326.45,42295.68,759,Excellent
U1311,4,91.9,15,3713.05,24062.9,766,Excellent
U1312,9,76.8,5,2022.73,47833.0,900,Excellent
U1313,2,66.3,0,4220.27,2402.1,459,Poor
U1314,12,86.9,10,2527.72,19624.27,774,Excellent
U1315,1,44.0,12,835.83,37002.97,728,Good
U1316,1,66.6,7,304.2,4697.2,504,Poor
U1317,8,46.3,16,4786.86,37006.66,870,Excellent
U1318,10,67.7,3,1813.55,38845.35,801,Excellent
U1319,11,64.7,4,3335.48,38336.45,861,Excellent
U1320,10,41.3,15,4842.51,15124.52,745,Good
U1321,2,80.0,2,694.79,30943.14,726,Good
U1322,14,44.2,17,1678.86,6699.06,713,Good
U1323,13,74.9,15,4077.67,32995.69,900,Excellent
U1324,11,42.6,16,4647.61,11618.47,695,Fair
U1325,12,63.3,17,4721.07,12414.29,729,Good
U1326,5,80.6,18,4445.93,32467.64,895,Excellent
U1327,7,92.8,11,4602.74,12985.93,709,Good
U1328,13,53.3,7,3766.14,28111.75,842,Excellent
U1329,9,96.2,12,907.59,7020.57,703,Good
U1330,4,89.1,14,2578.68,42114.8,900,Excellent
U1331,13,84.6,2,1557.99,28468.59,873,Excellent
U1332,13,45.6,11,3217.83,38175.52,892,Excellent
U1333,8,54.8,4,4419.11,14256.15,590,Poor
U1334,3,64.1,9,3322.05,15890.98,652,Fair
U1335,11,51.3,8,1938.77,27165.44,798,Excellent
U1336,4,40.3,11,3754.1,10522.79,579,Poor
U1337,11,85.4,5,4395.59,49818.55,900,Excellent
U1338,4,63.1,3,3638.15,44366.69,732,Good
U1339,5,40.1,6,115.77,31169.67,737,Good
U1340,4,50.9,12,555.65,29616.01,804,Excellent
U1341,8,46.2,19,2847.23,30372.64,836,Excellent
U1342,2,76.0,18,1422.12,41339.95,857,Excellent
U1343,6,81.7,11,3946.0,35530.21,847,Excellent
U1344,4,71.0,15,1929.97,6557.65,614,Poor
U1345,4,43.8,14,4991.9,46689.11,881,Excellent
U1346,13,50.4,5,3217.27,39389.76,856,Excellent
U1347,14,84.8,6,2902.17,29594.58,847,Excellent
U1348,9,73.9,9,1739.11,1796.74,633,Poor
U1349,13,87.0,18,1370.55,21768.01,860,Excellent
U1350,3,62.6,4,2456.44,22041.43,631,Poor
U1351,10,44.8,6,4529.18,45514.81,874,Excellent
U1352,8,83.8,5,380.67,11648.57,658,Fair
U1353,4,79.4,3,165.67,14495.91,579,Poor
U1354,10,56.9,6,1310.2,45359.6,858,Excellent
U1355,6,65.7,12,1413.88,8240.9,617,Poor
U1356,4,42.0,19,3136.53,28318.65,732,Good
U1357,11,60.8,14,206.93,33357.59,855,Excellent
U1358,4,47.7,15,4690.43,3086.77,531,Poor
U1359,9,69.7,17,810.33,36395.21,900,Excellent
U1360,5,73.9,18,1612.62,47378.28,900,Excellent
U1361,6,73.7,16,4904.53,11756.77,710,Good
U1362,12,83.4,8,3979.33,27667.51,811,Excellent
U1363,2,69.1,4,4733.92,42573.78,780,Excellent
U1364,2,45.9,15,2117.65,32723.19,727,Good
U1365,8,46.7,9,4892.5,39802.49,829,Excellent
U1366,1,52.1,6,4373.46,27469.96,660,Fair
U1367,8,47.6,14,4409.95,43593.63,900,Excellent
U1368,11,96.8,7,4926.45,38714.62,900,Excellent
U1369,1,63.4,2,616.82,33010.62,657,Fair
U1370,9,63.8,10,3900.5,48241.59,900,Excellent
U1371,8,61.4,8,2930.21,31911.83,747,Good
U1372,7,78.6,14,4583.94,26884.93,836,Excellent
U1373,12,50.0,15,4300.18,45354.09,900,Excellent
U1374,2,50.1,5,789.49,10499.78,494,Poor
U1375,4,87.9,13,508.97,44179.61,900,Excellent
U1376,12,84.4,15,4943.24,24525.27,900,Excellent
U1377,2,50.0,5,4900.93,32978.63,656,Fair
U1378,11,81.2,2,2684.26,36108.0,817,Excellent
U1379,13,57.8,5,2749.89,35657.02,868,Excellent
U1380,12,99.3,1,4126.02,23233.63,787,Excellent
U1381,3,92.8,15,3588.87,41385.92,832,Excellent
U1382,14,83.1,2,795.66,17723.1,809,Excellent
U1383,9,66.1,16,4223.09,23828.71,813,Excellent
U1384,11,78.0,19,3722.54,5764.01,744,Good
U1385,4,53.6,7,456.09,4315.36,545,Poor
U1386,3,81.6,14,1596.02,11025.9,682,Fair
U1387,12,54.0,8,3963.39,33416.75,846,Excellent
U1388,2,79.0,5,3386.59,28241.81,687,Fair
U1389,6,53.6,7,731.36,20931.68,639,Poor
U1390,14,68.7,16,305.92,37125.25,900,Excellent
U1391,9,57.5,18,4147.59,35116.11,900,Excellent
U1392,12,41.1,6,3144.59,28179.65,784,Excellent
U1393,3,92.4,13,1170.37,6452.24,713,Good
U1394,4,45.8,8,160.78,23704.01,680,Fair
U1395,3,53.6,13,3741.65,2883.07,508,Poor
U1396,4,92.6,1,3372.24,29864.47,715,Good
U1397,1,57.1,11,2955.75,49774.16,831,Excellent
U1398,2,74.4,4,1336.31,11401.15,613,Poor
U1399,9,94.6,3,4355.9,3702.0,625,Poor
U1400,1,41.5,14,502.81,45578.49,773,Excellent
U1401,3,93.6,7,4745.73,22539.68,704,Good
U1402,9,82.2,3,3414.49,7018.83,651,Fair
U1403,3,79.1,1,1430.69,23908.41,622,Poor
U1404,9,70.4,5,447.57,13092.38,653,Fair
U1405,10,94.4,18,1456.39,48590.87,900,Excellent
U1406,13,68.4,2,1060.88,30733.61,783,Excellent
U1407,13,72.2,16,137.55,11343.91,781,Excellent
U1408,11,90.6,0,1760.42,40227.99,883,Excellent
U1409,11,42.7,8,2045.37,4811.09,697,Fair
U1410,9,89.1,18,4411.33,28951.59,900,Excellent
U1411,14,49.9,7,2166.96,20845.54,749,Good
U1412,8,80.3,12,3078.74,15813.95,732,Good
U1413,13,89.8,16,3058.6,34486.2,900,Excellent
U1414,2,79.9,0,2335.56,18768.12,581,Poor
U1415,4,94.0,11,492.88,18061.18,694,Fair
U1416,7,64.8,8,3267.61,44457.93,869,Excellent
U1417,3,94.8,6,4381.12,36336.67,871,Excellent
U1418,11,84.5,5,4162.19,49567.53,900,Excellent
U1419,12,57.7,0,513.52,20268.75,719,Good
U1420,5,47.4,16,1158.65,23597.09,768,Excellent
U1421,4,80.4,8,1600.94,39554.77,811,Excellent
U1422,12,53.6,2,2305.6,29173.68,751,Excellent
U1423,11,74.9,3,2025.57,26527.72,782,Excellent
U1424,2,50.0,4,3264.13,2716.53,469,Poor
U1425,2,78.2,10,1990.79,39690.15,745,Good
U1426,11,58.7,5,4250.98,26788.72,774,Excellent
U1427,6,67.2,3,920.06,48615.25,880,Excellent
U1428,14,41.7,2,4823.69,19518.23,669,Fair
U1429,2,58.8,14,2490.47,6937.37,577,Poor
U1430,10,47.0,9,1936.54,23963.32,750,Excellent
U1431,9,99.0,12,3073.7,8003.42,738,Good
U1432,1,63.1,15,3890.34,49015.4,900,Excellent
U1433,13,85.7,18,1845.31,41427.34,900,Excellent
U1434,13,51.7,16,2586.49,34030.67,900,Excellent
U1435,4,60.8,2,837.56,40929.47,733,Good
U1436,4,64.1,16,3699.43,15374.22,728,Good
U1437,3,52.1,7,293.35,24039.53,628,Poor
U1438,4,94.4,1,3638.5,26902.64,691,Fair
U1439,1,80.8,8,4397.74,47230.08,843,Excellent
U1440,1,96.9,15,558.99,37853.75,798,Excellent
U1441,4,57.1,0,2857.29,22340.57,597,Poor
U1442,11,70.7,18,2928.67,43346.07,900,Excellent
U1443,3,76.1,14,2910.29,47824.33,900,Excellent
U1444,9,43.6,12,2251.83,42424.96,873,Excellent
U1445,13,98.3,15,3836.72,46498.24,900,Excellent
U1446,6,83.4,9,758.73,15320.08,732,Good
U1447,8,84.0,14,4953.68,10432.23,717,Good
U1448,10,89.7,6,111.36,2686.02,687,Fair
U1449,5,40.3,7,3867.72,33097.76,672,Fair
U1450,1,90.8,1,611.58,20255.46,583,Poor
U1451,4,64.4,5,1600.07,27681.95,719,Good
U1452,14,88.5,12,3519.01,801.39,716,Good
U1453,2,87.7,15,2443.47,7687.23,660,Fair
U1454,10,64.2,14,1134.45,43238.34,899,Excellent
U1455,8,64.3,6,2434.54,11688.44,619,Poor
U1456,9,53.2,12,3057.12,18211.8,704,Good
U1457,1,83.2,9,2970.74,31426.8,750,Excellent
U1458,4,78.2,17,1285.47,35840.66,881,Excellent
U1459,6,73.8,3,800.09,38879.63,806,Excellent
U1460,2,64.1,13,4421.76,41277.02,791,Excellent
U1461,1,59.1,16,2604.53,2819.17,592,Poor
U1462,6,82.4,17,2388.14,17348.35,781,Excellent
U1463,2,58.8,3,4545.28,47177.7,737,Good
U1464,3,94.6,15,4687.97,33919.43,874,Excellent
U1465,9,82.2,9,781.67,13084.45,723,Good
U1466,11,80.0,0,1464.35,6915.23,638,Poor
U1467,9,46.3,18,3208.26,49973.58,900,Excellent
U1468,1,61.6,15,1987.09,43358.1,804,Excellent
U1469,14,86.2,8,356.54,38494.6,900,Excellent
U1470,2,73.1,3,4266.71,10993.71,537,Poor
U1471,8,78.9,3,3421.28,30583.73,832,Excellent
U1472,2,63.7,7,3293.03,37060.57,774,Excellent
U1473,5,80.9,0,4462.05,14726.78,560,Poor
U1474,3,80.0,16,646.41,26035.16,804,Excellent
U1475,14,54.5,5,1752.99,1456.72,611,Poor
U1476,4,96.9,2,2515.04,20512.34,743,Good
U1477,8,83.5,3,304.12,20183.56,730,Good
U1478,1,58.7,15,3887.32,26304.15,706,Good
U1479,6,66.1,0,3721.23,11551.54,574,Poor
U1480,9,62.3,15,2883.65,33318.86,900,Excellent
U1481,3,41.4,10,4165.84,30504.25,702,Good
U1482,8,67.5,3,4507.33,35651.7,789,Excellent
U1483,13,84.8,11,383.44,47910.6,900,Excellent
U1484,9,54.3,19,2767.96,48157.03,900,Excellent
U1485,11,83.5,6,789.93,31309.48,827,Excellent
U1486,10,58.9,18,820.12,40650.63,900,Excellent
U1487,12,78.6,0,1791.44,45915.55,900,Excellent
U1488,8,83.5,14,397.08,34654.99,900,Excellent
U1489,4,77.9,10,318.36,21074.29,715,Good
U1490,6,71.8,14,1835.91,47479.02,900,Excellent
U1491,14,88.4,17,2779.61,9425.24,849,Excellent
